Ameex — Tarifs & disponibilité de livraison (Hub de ramassage : Meknes Hub Principal),,,,,,,,,
"Source : customer.ameex.ma/delivery/cities, extrait le 23/09/2026. ✓ = livraison ce jour, ✗ = pas de livraison.",,,,,,,,,
,,,,,,,,,
Ville,STD (<5 kg),Lun,Mar,Mer,Jeu,Ven,Sam,Dim,Jours / sem.
Marrakech,35.00,✓,✓,✓,✓,✓,✓,✓,7
Meknes,20.00,✓,✓,✓,✓,✓,✓,✗,6
Mhaya,30.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Taoujdate,30.00,✓,✓,✓,✓,✓,✓,✗,6
Sabaa Aiyoun,30.00,✓,✓,✓,✓,✓,✓,✗,6
Boufakrane,30.00,✗,✓,✗,✓,✗,✓,✗,3
El Hajeb,30.00,✗,✓,✗,✓,✗,✓,✗,3
Bouderbala,30.00,✓,✓,✓,✓,✓,✓,✗,6
Boujdour,45.00,✗,✓,✓,✓,✓,✓,✗,5
Tetouan,40.00,✓,✓,✓,✓,✓,✓,✗,6
Martil,45.00,✓,✓,✓,✓,✓,✓,✗,6
M Diq,45.00,✓,✓,✓,✓,✓,✓,✗,6
Fnideq,45.00,✓,✓,✓,✓,✓,✓,✗,6
Errachidia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oujda,40.00,✓,✓,✓,✓,✓,✓,✗,6
Nador,45.00,✓,✓,✓,✓,✓,✓,✗,6
Selouane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Al Aaroui,45.00,✓,✓,✓,✓,✓,✓,✗,6
Zaio,45.00,✗,✓,✗,✓,✗,✓,✗,3
Driouch,45.00,✓,✓,✓,✓,✓,✓,✗,6
Khouribga,40.00,✓,✓,✓,✓,✓,✓,✗,6
Oued Zem,45.00,✗,✓,✗,✓,✗,✓,✗,3
Boulanouar,45.00,✓,✗,✓,✗,✓,✗,✗,3
Boujniba,45.00,✗,✓,✗,✓,✗,✓,✗,3
Bir Mezoui,45.00,✗,✗,✓,✗,✗,✓,✗,2
Khemisset,35.00,✓,✓,✓,✓,✓,✓,✗,6
Tiflet,35.00,✓,✓,✓,✓,✓,✓,✗,6
Mohammedia,40.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Harrouda,40.00,✓,✓,✓,✓,✓,✓,✗,6
Dakhla,45.00,✓,✓,✓,✓,✓,✓,✗,6
Kenitra,35.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Taibi,45.00,✓,✗,✗,✓,✗,✗,✗,2
Sidi Yahya El Gharb,45.00,✓,✓,✓,✓,✓,✓,✗,6
ALLAL TAZI,45.00,✓,✓,✓,✓,✓,✓,✗,6
Mechra Bel Ksiri,45.00,✗,✓,✗,✓,✗,✓,✗,3
Sidi Sliman (reg kacem),45.00,✗,✓,✗,✓,✗,✓,✗,3
Sidi Kacem,35.00,✗,✓,✗,✓,✗,✓,✗,3
Mehdya,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tan Tan,45.00,✓,✓,✓,✓,✓,✓,✗,6
Guelmim,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bouizakarne,45.00,✓,✓,✓,✓,✓,✓,✗,6
Atlas Saghir ifrane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Timoulay,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Ifni,45.00,✓,✓,✓,✓,✓,✓,✗,6
Rabat,35.00,✓,✓,✓,✓,✓,✓,✗,6
Sale,35.00,✓,✓,✓,✓,✓,✓,✗,6
Sale Al Jadida-سلا,40.00,✓,✓,✓,✓,✓,✓,✗,6
Temara,40.00,✓,✓,✓,✓,✓,✓,✗,6
Tamesna,45.00,✓,✓,✓,✓,✓,✓,✗,6
Skhirat,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouarzazat,45.00,✓,✓,✓,✓,✓,✓,✓,7
Ait Zineb,45.00,✗,✓,✗,✗,✗,✓,✗,2
Tabounte,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tajda,45.00,✓,✓,✓,✓,✓,✓,✗,6
Timdline,45.00,✓,✗,✗,✓,✗,✓,✗,3
Tifoultoute,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ifran,25.00,✓,✓,✓,✓,✗,✓,✗,5
Azrou(reg meknes),25.00,✓,✓,✓,✓,✗,✓,✗,5
Agadir,35.00,✓,✓,✓,✓,✓,✓,✓,7
Inzegane,40.00,✓,✓,✓,✓,✓,✓,✓,7
Dcheira,40.00,✓,✓,✓,✓,✓,✓,✓,7
Ait Meloul,40.00,✓,✓,✓,✓,✓,✓,✓,7
Sidi Bibi - Agadir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taghazoute,45.00,✓,✓,✓,✓,✓,✓,✗,6
Fes,35.00,✓,✓,✓,✓,✓,✓,✓,7
Ain Bida,45.00,✗,✗,✗,✗,✗,✗,✗,0
Oulad Ettayeb,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Allah,45.00,✓,✗,✓,✓,✓,✓,✗,5
Sidi Harazem,45.00,✓,✗,✓,✓,✓,✓,✗,5
Essmara,45.00,✗,✓,✗,✓,✗,✓,✗,3
Berrchid,40.00,✓,✓,✓,✓,✓,✓,✗,6
Settat,40.00,✓,✓,✓,✓,✓,✓,✗,6
Deroua,45.00,✓,✓,✓,✓,✓,✓,✓,7
Nouaceur,45.00,✓,✓,✓,✓,✓,✓,✓,7
Had Soualem,45.00,✓,✓,✓,✓,✓,✓,✓,7
Al Hoceima,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ajdir (Région Hociema),45.00,✗,✓,✗,✓,✗,✓,✗,3
Boukidaren,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait Kamra,45.00,✗,✓,✗,✗,✗,✓,✗,2
Imzouren,45.00,✓,✓,✓,✓,✓,✓,✗,6
Youssoufia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Essaouira,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ounagha,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taftecht,45.00,✓,✓,✓,✓,✓,✓,✗,6
Had Draa,45.00,✓,✓,✓,✓,✓,✓,✗,6
Mejji,45.00,✓,✓,✓,✓,✓,✓,✗,6
Talmest,45.00,✓,✓,✓,✓,✓,✓,✗,6
Akermoud,45.00,✓,✓,✓,✓,✓,✓,✗,6
Zaouiet Bouzarktoune,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ghazoua,45.00,✓,✓,✓,✓,✓,✓,✗,6
Smimou,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamanar,45.00,✓,✗,✓,✗,✓,✗,✗,3
Sidi Kaouki,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tanger,35.00,✓,✓,✓,✓,✓,✓,✓,7
Mrirt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Khenifra,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ben Guerir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taroudannt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Teima,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait Laaza,45.00,✓,✓,✓,✓,✓,✓,✗,6
Aoulouz,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taliouine,45.00,✓,✗,✗,✓,✗,✗,✗,2
Sebt El Guerdane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Berkane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Saidia,45.00,✗,✓,✗,✓,✗,✓,✗,3
Ras El Ma (REG NADOR),45.00,✗,✓,✗,✗,✗,✓,✗,2
Bni Drar,45.00,✗,✓,✗,✓,✗,✓,✗,3
Ahfir,45.00,✗,✓,✗,✓,✗,✓,✗,3
Aklim,45.00,✓,✗,✗,✓,✗,✓,✗,3
Zeghanghane,45.00,✓,✗,✓,✗,✓,✗,✗,3
Farkhana,45.00,✓,✗,✗,✓,✗,✗,✗,2
Taza,40.00,✓,✓,✓,✓,✓,✓,✗,6
Guercif,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tiznit,45.00,✓,✓,✓,✓,✓,✓,✗,6
Safi,40.00,✓,✓,✓,✓,✓,✓,✗,6
Had Hrara,45.00,✗,✗,✗,✗,✗,✗,✓,1
Sebt Gzoula,45.00,✗,✓,✗,✓,✗,✓,✗,3
Larache,40.00,✓,✓,✓,✓,✓,✓,✗,6
Ksar El Kebir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Chefchaouen,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Bernoussi,40.00,✓,✓,✓,✓,✓,✓,✓,7
Casablanca,35.00,✓,✓,✓,✓,✓,✓,✓,7
Sidi Messaoud,40.00,✓,✓,✓,✓,✓,✓,✓,7
Bouskoura,40.00,✓,✓,✓,✓,✓,✓,✓,7
Dar Bouaza,40.00,✓,✓,✓,✓,✓,✓,✓,7
Mediouna,45.00,✓,✓,✓,✓,✓,✓,✓,7
Tit Melil,40.00,✓,✓,✓,✓,✓,✓,✓,7
El Kelaa Des Sraghna,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Jadida,40.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Bouzid,40.00,✓,✓,✓,✓,✓,✓,✗,6
Oualidia,45.00,✓,✗,✗,✗,✗,✗,✗,1
Sidi Bennour,45.00,✓,✓,✓,✓,✓,✓,✗,6
Beni Ansar,45.00,✗,✓,✗,✓,✗,✓,✗,3
Izemmouren,45.00,✓,✓,✓,✓,✓,✓,✗,6
Laayoune,45.00,✓,✓,✓,✓,✓,✓,✓,7
El Marsa,45.00,✗,✗,✓,✗,✗,✓,✗,2
Beni Mellal,40.00,✓,✓,✓,✓,✓,✓,✗,6
Fquih Ben Salah,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sebt Oulad Nemma,45.00,✓,✓,✓,✓,✓,✓,✗,6
Afourer,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouled Yaiche,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Ksiba,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Aouda,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamansourt,45.00,✓,✓,✓,✓,✓,✓,✓,7
Benslimane ( reg mohamedia),40.00,✓,✓,✓,✓,✓,✓,✓,7
Kasbah Tadla,45.00,✓,✓,✓,✓,✓,✓,✗,6
Chemaia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ourika,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tahannaout,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait Ourir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oudaya,45.00,✓,✗,✓,✗,✓,✗,✗,3
Chichaoua,45.00,✓,✓,✓,✓,✓,✓,✗,6
Assilah,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bouznika,45.00,✓,✓,✓,✓,✓,✓,✓,7
Sefrou,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taourirt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Chouiter,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Allal el Bahraoui,40.00,✗,✗,✓,✗,✗,✗,✗,1
Romani,45.00,✓,✗,✗,✓,✗,✗,✗,2
Oulmas,45.00,✗,✗,✓,✗,✗,✓,✗,2
Ouazzane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Dorij,45.00,✗,✓,✗,✗,✓,✗,✗,2
Sidi Redouane,45.00,✗,✗,✓,✗,✗,✓,✗,2
Moqrisset,45.00,✗,✗,✗,✗,✗,✗,✗,0
Zoumi,45.00,✓,✗,✗,✓,✗,✗,✗,2
Harhoura,40.00,✓,✓,✓,✓,✓,✓,✗,6
Laattaouia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Rissani,45.00,✓,✓,✓,✓,✓,✓,✗,6
Arfoud,45.00,✓,✓,✓,✓,✓,✓,✗,6
Merzouga,45.00,✗,✗,✓,✗,✗,✓,✗,2
Taddart - TAZA -,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bni Bouayach,45.00,✓,✓,✓,✓,✓,✓,✗,6
Azilal,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouaouizeght,45.00,✗,✗,✗,✗,✗,✓,✗,1
Bejaad,45.00,✓,✗,✓,✓,✓,✓,✗,5
Tinghir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Boumalne Dades,45.00,✓,✓,✓,✓,✓,✓,✗,6
Kalaat MGouna,45.00,✓,✓,✓,✓,✓,✓,✗,6
Alnif,45.00,✓,✗,✓,✗,✓,✗,✗,3
Bou Adel,45.00,✗,✓,✗,✗,✗,✓,✗,2
Zrizer,45.00,✓,✗,✗,✓,✗,✗,✗,2
Ain Aicha,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taounate,45.00,✗,✓,✗,✓,✗,✓,✗,3
Awrir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait amira,45.00,✓,✓,✓,✓,✓,✓,✗,6
Belfaa,45.00,✓,✓,✓,✓,✓,✓,✗,6
Anza,45.00,✓,✓,✓,✓,✓,✓,✗,6
DERDARA,45.00,✗,✗,✓,✗,✗,✓,✗,2
Bab Taza,45.00,✗,✗,✓,✗,✗,✓,✗,2
AKCHOUR,45.00,✗,✗,✗,✗,✗,✗,✗,0
Bab berred,45.00,✓,✗,✗,✓,✗,✗,✗,2
El Jebeha,45.00,✓,✗,✓,✗,✗,✓,✗,3
Midelt,45.00,✓,✓,✓,✓,✓,✓,✗,6
Jerada,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bouarfa,45.00,✗,✓,✗,✓,✗,✓,✗,3
Laayoun Cherqia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Zagora,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamegroute,45.00,✗,✗,✗,✗,✓,✗,✗,1
Tagomite,45.00,✗,✗,✗,✗,✓,✗,✗,1
Mhamid Lghezlane,45.00,✗,✗,✓,✗,✗,✗,✓,2
Agdz,45.00,✗,✓,✗,✓,✗,✗,✓,3
Nkob,45.00,✗,✓,✗,✓,✗,✓,✗,3
Tazzarine,45.00,✗,✓,✗,✓,✗,✓,✗,3
Taghbalte,45.00,✓,✗,✗,✗,✓,✗,✗,2
Errich,45.00,✓,✓,✓,✓,✓,✓,✗,6
Missour,45.00,✓,✓,✓,✓,✓,✓,✗,6
Boumia,45.00,✗,✗,✗,✓,✗,✓,✗,2
Tinjdad,45.00,✓,✓,✓,✓,✓,✓,✗,6
Gulmima - errachidia,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Bouknadel,40.00,✓,✓,✓,✓,✓,✓,✗,6
Imintanoute,45.00,✗,✓,✗,✓,✗,✓,✗,3
Demnate,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouad Laou,45.00,✓,✓,✓,✓,✓,✓,✗,6
Cabo Negro,45.00,✓,✓,✓,✓,✓,✓,✗,6
Khmiss Zemamera,45.00,✗,✓,✓,✓,✗,✓,✗,4
Sidi Smail,45.00,✓,✗,✓,✗,✓,✗,✗,3
Oulad Fraj,45.00,✗,✗,✓,✗,✓,✗,✗,2
Mellalyène,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Rehal-casa,45.00,✓,✓,✓,✓,✓,✓,✓,7
Assa,45.00,✓,✓,✓,✓,✓,✓,✗,6
Assa,45.00,✓,✓,✓,✓,✓,✓,✗,6
Rehamna,45.00,✗,✗,✓,✗,✗,✓,✗,2
Lakhssas,45.00,✓,✓,✓,✓,✓,✓,✗,6
Aoufous,45.00,✗,✗,✗,✗,✗,✗,✗,0
Boudnib,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ben Ahmed - Settat -,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Bou Othmane,45.00,✓,✗,✗,✓,✗,✗,✗,2
Asni,45.00,✓,✗,✗,✓,✗,✗,✗,2
Souk Elarbaa Du Gharb,45.00,✗,✓,✗,✓,✗,✓,✗,3
Ajdir (Région Taza),45.00,✓,✗,✗,✓,✗,✗,✗,2
Amzmiz,45.00,✗,✗,✓,✗,✗,✓,✗,2
Drarga,40.00,✓,✓,✓,✓,✓,✓,✗,6
Anza - Taddart,40.00,✓,✓,✓,✓,✓,✓,✗,6
Zayda,45.00,✗,✗,✗,✓,✗,✓,✗,2
Outat El Haj,45.00,✗,✗,✓,✗,✗,✓,✗,2
Tahla,45.00,✗,✗,✓,✗,✗,✓,✗,2
Oued Amlil,45.00,✗,✗,✓,✗,✗,✓,✗,2
Imouzzer Kandar,45.00,✗,✓,✗,✓,✗,✓,✗,3
Biogra,45.00,✓,✓,✓,✓,✓,✓,✗,6
Terfaya,45.00,✗,✓,✗,✓,✓,✗,✗,3
Tazenakht,45.00,✓,✗,✗,✓,✗,✓,✗,3
Figuig,45.00,✓,✓,✓,✓,✓,✗,✗,5
Tendrara,45.00,✓,✓,✓,✓,✓,✗,✗,5
Beni Tajjite,45.00,✓,✗,✗,✓,✗,✗,✗,2
Bouanane,45.00,✓,✗,✗,✓,✗,✗,✗,2
Tata,45.00,✓,✓,✓,✓,✓,✓,✗,6
Mzoudia,40.00,✓,✗,✓,✗,✓,✗,✗,3
Ksar Sghir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamelelt,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Gara,40.00,✓,✗,✓,✗,✓,✗,✗,3
Mirleft,45.00,✓,✓,✓,✓,✓,✓,✗,6
lqliaa,45.00,✓,✓,✓,✓,✓,✓,✗,6
oulad berhil,45.00,✓,✓,✓,✓,✓,✓,✗,6
zaida,45.00,✗,✗,✗,✓,✗,✓,✗,2
targuist,45.00,✓,✓,✓,✓,✓,✓,✗,6
issaguen,45.00,✓,✓,✓,✓,✓,✓,✗,6
tala youssef,45.00,✗,✗,✗,✗,✗,✗,✗,0
Jaadar,45.00,✓,✗,✓,✗,✓,✗,✗,3
Midar,45.00,✓,✓,✓,✓,✓,✗,✗,5
Ben Taieb,45.00,✓,✗,✓,✓,✓,✓,✗,5
Kassita,45.00,✓,✗,✓,✗,✓,✗,✗,3
Tafersit,45.00,✓,✓,✓,✓,✓,✗,✗,5
Dar El Kebdani,45.00,✗,✗,✗,✗,✗,✓,✗,1
Oulad Settout,45.00,✓,✓,✓,✗,✓,✗,✗,4
Bouarg,45.00,✓,✗,✗,✗,✗,✗,✗,1
Arekmane,45.00,✓,✗,✗,✗,✗,✗,✗,1
Krona,45.00,✗,✗,✗,✓,✗,✗,✗,1
Boudinar,45.00,✗,✗,✗,✓,✗,✗,✗,1
Tamsamane,45.00,✗,✗,✗,✓,✗,✗,✗,1
Annual,45.00,✗,✗,✗,✗,✗,✗,✗,0
BENI CHIKER,45.00,✓,✗,✗,✓,✗,✗,✗,2
Mariouari,45.00,✓,✗,✗,✓,✗,✗,✗,2
Tiztoutine,45.00,✓,✗,✗,✗,✗,✗,✗,1
Tamaris,40.00,✓,✓,✓,✓,✓,✓,✓,7
Karia Be Mohammed,45.00,✓,✓,✓,✓,✓,✓,✗,6
Taddart - Charaf - AGADIR,35.00,✓,✓,✓,✓,✓,✓,✗,6
Ben Ahmed - CHEFCHAOUEN -,45.00,✗,✗,✗,✗,✗,✗,✗,0
Tnine Chtouka (el jadida),45.00,✓,✗,✓,✗,✓,✗,✗,3
AIN CHGAG,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tafraoute,45.00,✓,✓,✓,✓,✓,✓,✗,6
Houara-oulad teima,45.00,✓,✓,✓,✓,✓,✓,✗,6
ERRAHMA VILLE,40.00,✓,✓,✓,✓,✓,✓,✓,7
azrou ait melloul,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ben Yakhlef,45.00,✓,✓,✓,✓,✓,✓,✓,7
El Mansouria,45.00,✓,✓,✓,✓,✓,✓,✓,7
cap beddouza,45.00,✓,✓,✓,✓,✓,✓,✗,6
Jemâa-Shaim,45.00,✗,✓,✗,✓,✗,✓,✗,3
El Borouj,45.00,✓,✓,✓,✓,✓,✓,✗,6
oulad said settat,45.00,✓,✓,✓,✓,✓,✓,✗,6
sidi hajjaj (settat),45.00,✓,✓,✓,✓,✓,✓,✗,6
Ras El Ain (settat),45.00,✓,✓,✓,✓,✓,✓,✗,6
Guisser (settat),45.00,✗,✓,✗,✓,✗,✓,✗,3
Lakhyayeta,45.00,✓,✓,✓,✓,✓,✓,✗,6
Nzalat Laadam,45.00,✓,✗,✗,✓,✗,✗,✗,2
Oulad Zidoh,45.00,✓,✓,✓,✓,✓,✓,✗,6
souiria Guedima (REG SAFI),45.00,✓,✓,✓,✓,✓,✓,✗,6
Jorf El Melha,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ain Beida,45.00,✓,✗,✓,✓,✓,✓,✗,5
Mokrisset,45.00,✗,✗,✗,✗,✗,✗,✗,0
Oulad Ayad,45.00,✓,✓,✓,✓,✓,✓,✗,6
AIN ATIQ,45.00,✓,✓,✓,✓,✓,✓,✗,6
Moulay Bousselham,45.00,✓,✗,✗,✓,✗,✗,✗,2
Khenichet,45.00,✗,✓,✗,✓,✗,✓,✗,3
Zoumi-Ouazzane,45.00,✓,✗,✗,✓,✗,✗,✗,2
Teroual - Ouazzane,45.00,✗,✓,✗,✗,✓,✗,✗,2
Ain Dfali-Ouazzane,45.00,✗,✗,✓,✗,✗,✓,✗,2
Masmouda - Ouazzane,45.00,✗,✗,✓,✗,✗,✓,✗,2
Stehat-Chefchaouen,45.00,✓,✗,✓,✗,✗,✓,✗,3
Temsia-agadir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tamraght,45.00,✓,✓,✓,✓,✓,✓,✗,6
Had bouhssoussen,45.00,✗,✗,✗,✗,✗,✗,✗,0
Moulay bouazza khenifra,45.00,✗,✗,✗,✗,✗,✗,✗,0
Tagzert,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad M barek-Beni Mellal,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tanougha-Beni Mellal,45.00,✗,✗,✗,✗,✗,✗,✗,0
Foum Oudi,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ikhourbane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Zag-VILLE,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Ouatia,45.00,✗,✗,✓,✗,✗,✓,✗,2
Port of Tan-Tan,45.00,✗,✓,✗,✓,✗,✓,✗,3
oulad oujih,45.00,✓,✓,✓,✓,✓,✓,✗,6
Lalla Mimouna,45.00,✓,✗,✗,✓,✗,✗,✗,2
Dlalha,45.00,✓,✗,✗,✓,✗,✗,✗,2
Mers El Kheir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Sidi Yahya Zaer,45.00,✓,✓,✓,✓,✓,✓,✗,6
Skhour Rehamna,45.00,✗,✗,✓,✗,✗,✓,✗,2
Amizmiz,45.00,✗,✗,✓,✗,✗,✓,✗,2
El Hanchane,45.00,✓,✓,✓,✓,✓,✓,✗,6
Akka-tata,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tagmout-tata,45.00,✗,✗,✗,✗,✗,✗,✗,0
Issafen-tata,45.00,✗,✗,✗,✗,✗,✗,✗,0
Fam El Hisn-tata,45.00,✗,✗,✗,✗,✗,✗,✗,0
MASSA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Kariat Arkman‎-Nador,45.00,✓,✗,✗,✓,✗,✗,✗,2
Had Hrara-SAFI,45.00,✗,✗,✗,✗,✗,✗,✓,1
Sidi Zouine,45.00,✓,✗,✓,✗,✓,✗,✗,3
Skoura-Ouarzazate,45.00,✓,✗,✗,✓,✗,✓,✗,3
Bni hdifa - Region Al hoceima,45.00,✓,✓,✓,✓,✓,✓,✗,6
Bab Marzouka-Taza,45.00,✗,✗,✓,✗,✗,✓,✗,2
Aknoul-taza,45.00,✓,✓,✓,✓,✓,✓,✗,6
Hatane-Khouribga,45.00,✗,✓,✓,✓,✓,✗,✗,4
sidi allal tazi,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tiddas,45.00,✗,✗,✓,✗,✗,✓,✗,2
Ain Johra,45.00,✗,✗,✓,✗,✗,✓,✗,2
Maâziz,45.00,✗,✗,✗,✗,✗,✓,✗,1
Tīdās-Khemisset,45.00,✗,✗,✗,✗,✗,✓,✗,1
Laouamra- ksar el kebir,45.00,✓,✓,✓,✓,✓,✓,✗,6
Khemis Sahel,45.00,✗,✓,✗,✓,✗,✓,✗,3
Krimda,40.00,✗,✗,✗,✗,✗,✗,✗,0
Sidi Aissa-Beni-Mellal,45.00,✓,✗,✓,✗,✓,✗,✗,3
Ouled Moussa-Beni Mellal,45.00,✓,✓,✓,✓,✓,✓,✗,6
Oulad Said-Beni Mellal,45.00,✓,✓,✓,✓,✓,✓,✗,6
ighram laalam-beni mellal,45.00,✓,✓,✓,✓,✓,✓,✗,6
Tanougha-Beni Mellal,45.00,✗,✗,✗,✗,✗,✗,✗,0
Zaouiat Cheikh,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ait Ali,45.00,✗,✗,✗,✗,✗,✗,✗,0
Lehri-KHENIFRA,45.00,✗,✗,✗,✗,✗,✗,✗,0
El Kebab-KHENIFRA,45.00,✓,✓,✓,✓,✓,✓,✗,6
El Borj-KHENIFRA,45.00,✓,✓,✓,✓,✓,✓,✗,6
Ouaoumana,45.00,✗,✗,✗,✗,✗,✗,✗,0
Ait ishaq,45.00,✓,✗,✓,✗,✓,✗,✗,3
Ait ishaK,45.00,✗,✗,✗,✗,✗,✗,✗,0
Tighassaline ville,45.00,✗,✓,✗,✓,✗,✓,✗,3
Aguelmous,45.00,✓,✗,✓,✓,✗,✓,✗,4
Bounouar,45.00,✗,✗,✗,✗,✗,✗,✗,0
HATTANE,45.00,✗,✗,✗,✗,✗,✗,✗,0
Boujniba,45.00,✗,✓,✗,✓,✗,✓,✗,3
